leaf,type
ABALAAAALAL,
ABALAAAALP,
ABALAAAARLP,
ABALAAAARR,
ABALAAAPALL,Glia
ABALAAAPALR,
ABALAAAPAR,
ABALAAAPPR,
ABALAAPAAA,
ABALAAPAPPP,Glia
ABALAAPPAPA,
ABALAAPPPAA,
ABALAAPPPPAA,Ciliated_non_amphid_neuron
ABALAAPPPPP,Ciliated_non_amphid_neuron
ABALAPAAAAA,
ABALAPAAAPA,
ABALAPAAPA,Ciliated_amphid_neuron
ABALAPAAPPA,Ciliated_non_amphid_neuron
ABALAPAPAPAA,Ciliated_non_amphid_neuron
ABALAPAPPPA,
ABALAPPAAPA,
ABALAPPAPA,
ABALAPPAPP,
ABALAPPPAAA,
ABALAPPPAPA,Ciliated_non_amphid_neuron
ABALAPPPPP,
ABALPAAAAA,
ABALPAAAAP,
ABALPAAAPA,
ABALPAAAPP,
ABALPAAPAAA,Arcade_cell
ABALPAAPAPA,Pharyngeal_marginal_cell
ABALPAAPPAA,Arcade_cell
ABALPAAPPPA,Hypodermis
ABALPAPAAA,
ABALPAPAAPA,hyp1V_and_ant_arc_V
ABALPAPAPAA,
ABALPAPAPAPP,
ABALPAPAPP,
ABALPAPPAPP,Pharyngeal_marginal_cell
ABALPAPPPA,Pharyngeal_neuron
ABALPAPPPP,
ABALPPAAAP,
ABALPPAAPP,
ABALPPAPAA,
ABALPPAPAP,
ABALPPAPPAA,
ABALPPAPPAP,Ciliated_non_amphid_neuron
ABALPPPAAAA,
ABALPPPAAP,
ABALPPPAPAV,Ciliated_amphid_neuron
ABALPPPAPPPA,Ciliated_amphid_neuron
ABALPPPPAAD,Ciliated_amphid_neuron
ABALPPPPAPAA,Ciliated_non_amphid_neuron
ABALPPPPPAA,Ciliated_amphid_neuron
ABALPPPPPAP,Ciliated_amphid_neuron
ABALPPPPPPAA,Ciliated_amphid_neuron
ABALPPPPPPPA,Ciliated_amphid_neuron
ABALPPPPPPPP,
ABARAAAAAA,
ABARAAAAPA,
ABARAAAPAA,
ABARAAAPAP,
ABARAAAPPA,
ABARAAAPPP,
ABARAAPAAA,
ABARAAPAAPP,Pharyngeal_marginal_cell
ABARAAPAPAA,Pharyngeal_neuron
ABARAAPAPP,Pharyngeal_neuron
ABARAAPPAA,Pharyngeal_neuron
ABARAAPPAP,
ABARAAPPP,
ABARAPAAA,
ABARAPAAP,
ABARAPAPAPP,
ABARAPAPP,
ABARAPPAAA,
ABARAPPAAP,Parent_of_hyp1V_and_ant_arc_V
ABARAPPAP,
ABARAPPPA,
ABARAPPPPA,
ABARPAAAAA,ABarpaaa_lineage
ABARPAAAAPP,Glia
ABARPAAAPA,ABarpaaa_lineage
ABARPAAPAA,Hypodermis
ABARPAAPP,
ABARPAPAAA,
ABARPAPAAPPA,Ciliated_non_amphid_neuron
ABARPAPAAPPP,Ciliated_non_amphid_neuron
ABARPAPAPA,Hypodermis
ABARPAPPAA,XXX
ABARPAPPAP,Hypodermis
ABARPAPPPA,Seam_cell
ABARPPAAAA,Glia
ABARPPAAAP,Seam_cell
ABARPPAAPA,Hypodermis
ABARPPAAPPA,
ABARPPAPAA,Seam_cell
ABARPPAPPA,Seam_cell
ABARPPAPPP,Seam_cell
ABARPPPAA,
ABARPPPAPP,
ABARPPPPA,Seam_cell
ABARPPPPP,Seam_cell
ABPLAAAAAPP,Ciliated_non_amphid_neuron
ABPLAAAAP,
ABPLAAAPA,
ABPLAAAPP,
ABPLAAPAAAA,Hypodermis
ABPLAAPAAP,
ABPLAAPAPAA,Ciliated_amphid_neuron
ABPLAAPAPAP,Ciliated_amphid_neuron
ABPLAAPAPPA,
ABPLAAPAPPPA,Ciliated_amphid_neuron
ABPLAAPPAA,Hypodermis
ABPLAAPPAP,Hypodermis
ABPLAAPPPA,Hypodermis
ABPLAAPPPP,Hypodermis
ABPLAPAAAAPA,Ciliated_non_amphid_neuron
ABPLAPAAAPAD,
ABPLAPAAAPAV,
ABPLAPAAPA,G2_and_W_blasts
ABPLAPAAPP,Hypodermis
ABPLAPAPAA,
ABPLAPAPAP,
ABPLAPAPPA,Hypodermis
ABPLAPPAAA,Hypodermis
ABPLAPPAAP,
ABPLAPPAPA,Seam_cell
ABPLAPPAPP,Hypodermis
ABPLAPPPAAA,
ABPLAPPPAPPP,
ABPLAPPPPA,
ABPLAPPPPP,
ABPLPAAAAAP,Ciliated_amphid_neuron
ABPLPAAAAPA,Excretory_duct_and_pore
ABPLPAAAPA,
ABPLPAAPAAA,
ABPLPAAPAAP,
ABPLPAAPAPA,Glia
ABPLPAAPPAA,Ciliated_amphid_neuron
ABPLPAAPPAP,
ABPLPAAPPPA,
ABPLPAPAAAP,
ABPLPAPAAPA,
ABPLPAPAAPP,
ABPLPAPAPAA,Excretory_gland
ABPLPAPAPAP,
ABPLPAPAPP,
ABPLPAPPAAP,Excretory_cell
ABPLPAPPPAA,Rectal_cell
ABPLPAPPPPA,
ABPLPAPPPPP,Rectal_gland
ABPLPPAAAAPP,
ABPLPPAAPAP,
ABPLPPAAPP,
ABPLPPAPAP,
ABPLPPAPPA,
ABPLPPAPPP,
ABPLPPPAAA,
ABPLPPPAAPA,
ABPLPPPAPA,
ABPLPPPPAAA,
ABPLPPPPAPA,Rectal_cell
ABPLPPPPPA,
ABPLPPPPPP,
ABPRAAAAAA,
ABPRAAAAPA,Ciliated_amphid_neuron
ABPRAAAAPPP,Ciliated_amphid_neuron
ABPRAAAPAA,Ciliated_amphid_neuron
ABPRAAAPAPA,Ciliated_non_amphid_neuron
ABPRAAAPPA,Ciliated_amphid_neuron
ABPRAAAPPPA,Ciliated_amphid_neuron
ABPRAAAPPPP,Ciliated_amphid_neuron
ABPRAAPAAA,
ABPRAAPAPA,Ciliated_amphid_neuron
ABPRAAPAPPP,Ciliated_amphid_neuron
ABPRAAPPA,
ABPRAAPPP,
ABPRAPAAAAP,Ciliated_non_amphid_neuron
ABPRAPAAAPA,
ABPRAPAAP,
ABPRAPAP,
ABPRAPPAA,
ABPRAPPAP,
ABPRAPPPAA,
ABPRAPPPAPP,Ciliated_non_amphid_neuron
ABPRAPPPP,
ABPRPAAAAA,Ciliated_amphid_neuron
ABPRPAAAAP,Ciliated_amphid_neuron
ABPRPAAAP,
ABPRPAAPAA,
ABPRPAAPAP,
ABPRPAAPPA,Ciliated_amphid_neuron
ABPRPAPAAA,
ABPRPAPAAP,
ABPRPAPAPA,Parent_of_exc_gland_AVK
ABPRPAPPAAA,
ABPRPAPPAAP,
ABPRPAPPAPA,
ABPRPAPPPAP,
ABPRPAPPPP,
ABPRPPAAAAP,
ABPRPPAAPA,
ABPRPPAPA,
ABPRPPAPP,
ABPRPPPAAAA,Rectal_cell
ABPRPPPPAA,
ABPRPPPPAPA,Rectal_cell
ABPRPPPPAPP,
ABPRPPPPP,
CAAAAA,Hypodermis
CAAAPP,Hypodermis
CAAPAA,
CAAPPD,Hypodermis
CAAPPV,
CAPAAAA,Body_wall_muscle
CAPAAPA,Body_wall_muscle
CAPAPAA,Body_wall_muscle
CAPAPPA,Body_wall_muscle
CAPPAAA,Body_wall_muscle
CAPPAPA,Body_wall_muscle
CAPPPAA,Body_wall_muscle
CAPPPPD,Body_wall_muscle
CPAAA,Hypodermis
CPAPAA,Hypodermis
CPAPPV,Hypodermis
CPPAAA,Body_wall_muscle
CPPAAP,Body_wall_muscle
CPPAPA,Body_wall_muscle
CPPAPP,Body_wall_muscle
CPPPAA,Body_wall_muscle
CPPPAP,Body_wall_muscle
CPPPPA,Body_wall_muscle
CPPPPP,Body_wall_muscle
DAAAA,Body_wall_muscle
DAAPA,Body_wall_muscle
DAPA,Body_wall_muscle
DAPPAA,Body_wall_muscle
DAPPPA,Body_wall_muscle
DPAP,Body_wall_muscle
DPPPA,Body_wall_muscle
DPPPP,Body_wall_muscle
EALAA,Intestine
EALAP,Intestine
EALPP,Intestine
EARP,Intestine
EPLAA,Intestine
EPLPA,Intestine
EPLPP,Intestine
EPR,Intestine
MSAAAAAAL,GLR
MSAAAAAPA,Pharyngeal_gland
MSAAAAPA,Pharyngeal_muscle
MSAAAAPPP,Pharyngeal_muscle
MSAAAPAA,Pharyngeal_muscle
MSAAAPAPP,Pharyngeal_muscle
MSAAAPPP,Pharyngeal_intestinal_valve
MSAAPAAA,Pharyngeal_muscle
MSAAPAAPA,Pharyngeal_gland
MSAAPAPAA,Pharyngeal_gland
MSAAPAPPA,Pharyngeal_muscle
MSAAPPA,Pharyngeal_intestinal_valve
MSAAPPPAA,Body_wall_muscle
MSAAPPPPA,Body_wall_muscle
MSAPAAAA,GLR
MSAPAAAP,Body_wall_muscle
MSAPAAP,
MSAPAPAA,Coelomocyte
MSAPAPAP,Body_wall_muscle
MSAPAPPA,Body_wall_muscle
MSAPAPPP,Body_wall_muscle
MSAPPAAA,hmc_and_homolog
MSAPPAAP,Z1_Z4
MSAPPAPP,Body_wall_muscle
MSAPPPAA,Body_wall_muscle
MSAPPPPA,Body_wall_muscle
MSPAAAAA,Pharyngeal_neuron
MSPAAAAP,Pharyngeal_muscle
MSPAAAPA,Pharyngeal_neuron
MSPAAAPP,
MSPAAPAA,Pharyngeal_neuron
MSPAAPAP,Pharyngeal_marginal_cell
MSPAPAA,Pharyngeal_muscle
MSPAPAPA,Pharyngeal_gland
MSPAPAPP,
MSPAPPAA,GLR
MSPAPPPA,Body_wall_muscle
MSPAPPPP,Body_wall_muscle
MSPPAAPP,Intestinal_and_rectal_muscle
MSPPAPP,Body_wall_muscle
MSPPPAA,
MSPPPAP,
MSPPPPA,Body_wall_muscle
MSPPPPP,Body_wall_muscle
